id,日期,录播来源,录播片段编号,起始时间点,结束时间点,歌名,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,谁切的,有没有第二版本,,
U00421,2020-09-23,BV1vT4y1A7GE,1,01:40:37.000,01:42:43.433,寂寞寂寞就好,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00422,2020-09-23,BV1vT4y1A7GE,1,01:47:43.000,01:52:13.937,你就不要想起我,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00423,2020-09-23,BV1vT4y1A7GE,1,01:52:45.000,01:55:39.937,说书人,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00424,2020-09-23,BV1vT4y1A7GE,1,01:58:53.000,02:02:11.745,太陽系デスコ,太阳系disco,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00425,2020-09-23,BV1vT4y1A7GE,1,02:03:15.000,02:03:30.745,たばこ,烟草,,呜米,几句,日语,清唱,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00426,2020-09-23,BV1vT4y1A7GE,1,02:17:50.000,02:19:39.745,牛仔很忙,,,呜米,完整,普通话,牛仔非常非常非常忙,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00427,2020-09-23,BV1vT4y1A7GE,1,02:21:00.000,02:24:10.745,本草纲目,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00428,2020-09-23,BV1vT4y1A7GE,1,02:39:15.000,02:42:29.745,老子明天不上班,,,呜米,强行完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00429,2020-09-25,BV13i4y1E7zg,2,00:35:33.000,00:36:53.329,香水,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00430,2020-09-25,BV13i4y1E7zg,2,00:37:35.000,00:39:46.329,你走,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00431,2020-09-25,BV13i4y1E7zg,2,00:40:46.000,00:43:08.441,好运来,,,呜米,完整,普通话,好 运 走,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00432,2020-09-25,BV13i4y1E7zg,2,00:44:03.000,00:46:58.633,Yellow,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00433,2020-09-25,BV13i4y1E7zg,2,00:47:59.000,00:49:49.633,侧脸,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00434,2020-09-26,BV1HT4y1A72Z,1,00:00:17.000,00:04:19.329,たばこ,烟草,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00435,2020-09-26,BV1HT4y1A72Z,1,00:06:57.000,00:10:58.033,Give me Moneeeeeeeeeey!!!,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00436,2020-09-26,BV1HT4y1A72Z,1,00:13:39.000,00:16:47.000,易燃易爆炸,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00437,2020-09-26,BV1HT4y1A72Z,1,00:19:33.000,00:23:56.545,aLIEz,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00438,2020-09-26,BV1HT4y1A72Z,1,00:26:04.000,00:28:17.441,King,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00439,2020-09-26,BV1HT4y1A72Z,1,00:31:37.000,00:35:41.729,安河桥,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00440,2020-09-26,BV1HT4y1A72Z,1,00:37:35.000,00:42:06.729,こちら、幸福安心委員会です,这里是，幸福安心委员会,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00441,2020-09-26,BV1HT4y1A72Z,1,00:44:30.000,00:48:30.000,说散就散,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00442,2020-09-26,BV1HT4y1A72Z,1,00:51:20.000,00:55:15.129,飞行随笔,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00443,2020-09-26,BV1HT4y1A72Z,1,00:58:12.000,01:00:37.945,甩葱歌,,,呜米,完整,日语,口哨,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00444,2020-09-26,BV1HT4y1A72Z,1,01:03:58.000,01:07:35.033,Gimme×Gimme,,,"呜米,咩栗",完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00445,2020-09-26,BV1HT4y1A72Z,1,01:08:54.000,01:10:53.233,River,,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00446,2020-09-26,BV1HT4y1A72Z,1,01:11:42.000,01:15:45.841,余香,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00447,2020-09-26,BV1HT4y1A72Z,1,01:17:26.000,01:18:47.145,天下局,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00448,2020-09-26,BV1HT4y1A72Z,1,01:20:26.000,01:24:58.233,摩天动物园,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00449,2020-09-26,BV1HT4y1A72Z,1,01:34:45.000,01:38:03.745,欲望に満ちた青年団,欲望满满的青年团,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00450,2020-09-26,BV1HT4y1A72Z,1,01:38:22.000,01:43:16.529,さくら~あなたに出会えてよかった~,樱花樱花，想见你,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00451,2020-09-26,BV1HT4y1A72Z,1,01:45:16.000,01:48:30.929,演者の憂鬱,演者的忧郁,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00452,2020-09-26,BV1HT4y1A72Z,1,01:49:46.000,01:53:53.825,人間だった,曾生为人,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00453,2020-09-26,BV1HT4y1A72Z,1,01:58:43.000,02:03:11.000,无人之岛,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00454,2020-09-26,BV1HT4y1A72Z,1,02:15:45.000,02:19:32.233,绿旋风,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,原草原组(UID:674421433),FALSE,,
U00455,2020-09-30,BV1si4y1E7pP,1,00:34:00.000,00:37:56.000,说散就散,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00456,2020-09-30,BV1si4y1E7pP,1,00:47:14.000,00:50:42.000,快乐崇拜,,,呜米,完整,普通话,Rap狼,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00457,2020-09-30,BV1si4y1E7pP,1,00:55:34.000,00:55:44.000,流星雨,,,呜米,几句,普通话,清唱，kdl,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00458,2020-09-30,BV1si4y1E7pP,2,00:25:20.000,00:25:33.000,你把我灌醉,,,呜米,几句,普通话,清唱,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00459,2020-09-30,BV1si4y1E7pP,2,00:25:40.000,00:25:54.000,拯救,,,呜米,几句,普通话,清唱,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00460,2020-09-30,BV1si4y1E7pP,2,00:27:38.000,00:31:39.000,野狼disco,,,呜米,完整,普通话,奶狼disco,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00461,2020-09-30,BV1si4y1E7pP,2,00:40:16.000,00:44:46.000,太陽曰く燃えよカオス,太阳说燃烧混吨一切,,呜米,完整,日语,nya狼,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00462,2020-09-30,BV1si4y1E7pP,2,01:03:26.000,01:08:57.000,六等星の夜,六等星之夜,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00463,2020-09-30,BV1si4y1E7pP,2,01:10:39.000,01:14:11.000,庆功酒,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00464,2020-09-30,BV1si4y1E7pP,2,01:14:53.000,01:17:58.000,好汉歌,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00465,2020-09-30,BV1si4y1E7pP,2,01:26:57.000,01:31:10.001,寂寞寂寞就好,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00466,2020-09-30,BV1si4y1E7pP,2,01:33:39.001,01:37:53.000,命に嫌われている,被生命所厌恶,,呜米,完整,日语,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00467,2020-09-30,BV1si4y1E7pP,2,01:38:38.000,01:43:05.001,齐天,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00468,2020-10-01,BV1Yz4y1d7ir,1,01:34:40.000,01:38:40.001,水调歌头,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00469,2020-10-01,BV1Yz4y1d7ir,1,01:59:50.000,02:01:55.001,爱要坦荡荡,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00470,2020-10-01,BV1Yz4y1d7ir,1,02:02:20.001,02:06:54.000,山海,,,呜米,强行完整,普通话,最后没上去，气急败坏,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00471,2020-10-02,BV1XV41117f6,1,01:47:17.000,01:51:09.001,红玫瑰,,,呜米,未知,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00472,2020-10-02,BV1SV41117L4,1,01:59:05.000,02:02:20.001,悟空,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00474,2020-10-03,BV1uV41127mT,1,00:03:45.000,00:06:42.001,刀剑如梦,,,呜米,完整,普通话,《倚天屠龙记》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00475,2020-10-03,BV1uV41127mT,1,00:10:05.000,00:14:23.000,小幸运,,,呜米,完整,普通话,《我的少女时代》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00476,2020-10-03,BV1uV41127mT,1,00:19:51.000,00:23:27.000,好春光,,,呜米,完整,普通话,《春光灿烂猪八戒》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00477,2020-10-03,BV1uV41127mT,1,00:26:30.000,00:30:30.000,无名之辈,,,呜米,完整,普通话,《亲爱的，热爱的》dj版，四度口胡,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00478,2020-10-03,BV1uV41127mT,1,00:31:17.000,00:34:25.000,向天再借五百年,,,呜米,完整,普通话,《康熙王朝》 无名之辈 fork fork,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00479,2020-10-03,BV1uV41127mT,1,00:37:19.000,00:41:56.000,杀破狼,,,呜米,完整,普通话,《仙剑奇侠传》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00480,2020-10-03,BV1uV41127mT,1,00:45:09.000,00:49:59.000,当,,,呜米,完整,普通话,《还珠格格》（笑到不行）,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00481,2020-10-03,BV1uV41127mT,1,00:52:48.000,00:56:31.000,雨蝶,,,呜米,完整,普通话,《两个天堂之还珠格格》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00482,2020-10-03,BV1uV41127mT,1,00:58:34.000,01:02:32.000,一直很安静,,,呜米,完整,普通话,《仙剑奇侠传》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00483,2020-10-03,BV1uV41127mT,1,01:05:20.000,01:08:50.000,偏爱,,,呜米,完整,普通话,《仙剑奇侠传三》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00484,2020-10-03,BV1uV41127mT,1,01:08:51.000,01:13:26.000,生生世世爱,,,呜米,完整,普通话,《仙剑奇侠传三》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00485,2020-10-03,BV1uV41127mT,1,01:13:27.000,01:17:09.000,六月雨,,,呜米,完整,普通话,《仙剑奇侠传一》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00486,2020-10-03,BV1uV41127mT,1,01:17:11.000,01:21:45.000,此生不换,,,呜米,完整,普通话,《仙剑奇侠传三》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00487,2020-10-03,BV1uV41127mT,1,01:22:58.000,01:26:02.000,通天大道宽又阔,,,呜米,完整,普通话,《西游记》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00488,2020-10-03,BV1uV41127mT,1,01:27:35.000,01:32:19.000,女儿情,,,呜米,完整,普通话,《西游记》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00489,2020-10-03,BV1uV41127mT,1,01:27:35.000,01:32:19.000,菊花台,,,呜米,完整,普通话,《满城尽带黄金甲》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00490,2020-10-03,BV1uV41127mT,1,01:32:56.000,01:35:03.000,天竺少女,,,呜米,完整,普通话,《西游记》就摁唱,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00491,2020-10-03,BV1uV41127mT,1,01:35:04.000,01:40:23.000,我好想你,,,呜米,完整,普通话,《小时代》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00492,2020-10-03,BV1uV41127mT,1,01:40:24.000,01:46:33.000,那些年,,,呜米,完整,普通话,《那些年，我们一起追的女孩》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00493,2020-10-03,BV1uV41127mT,1,01:47:46.000,01:51:22.000,红颜旧,,,呜米,完整,普通话,《琅琊榜》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00494,2020-10-03,BV1uV41127mT,1,01:51:37.000,01:55:22.000,追光者,,,呜米,完整,普通话,《夏至未至》某一刻你的光照亮了我,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00495,2020-10-03,BV1uV41127mT,1,02:02:00.000,02:05:51.000,光年之外,,,呜米,完整,普通话,《太空旅客》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00496,2020-10-03,BV1uV41127mT,1,02:07:22.000,02:10:41.000,我的快乐,,,呜米,完整,普通话,《命中注定我爱你》,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00497,2020-10-03,BV1uV41127mT,1,02:11:36.000,02:15:31.000,穷开心,,,呜米,完整,普通话,开口调乱飞,少束在路上(UID:440611853),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00498,2020-10-08,BV1HK411A74T,1,00:05:43.000,00:09:29.000,贝加尔湖畔,,,呜米,完整,普通话,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00499,2020-10-08,BV1HK411A74T,1,02:09:30.000,02:13:03.000,同桌的你,,,呜米,完整,普通话,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00500,2020-10-08,BV1HK411A74T,1,02:14:03.000,02:17:43.000,欢迎光临,,,呜米,完整,普通话,首尾呼应，一转歌回,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00501,2020-10-17,BV1VD4y1d73d,1,01:51:17.000,01:55:42.000,孤独患者,,,呜米,完整,普通话,改词,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00502,2020-10-17,BV1VD4y1d73d,1,01:57:22.000,02:00:28.000,易燃易爆炸,,,呜米,完整,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00503,2020-10-17,BV1VD4y1d73d,1,02:01:48.000,02:05:05.000,恭喜发财,,,呜米,半首,普通话,,美洲野犬(UID:20524614),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00504,2020-10-18,BV17a4y1L7nE,1,01:27:40.000,01:30:37.000,相思,,,呜米,完整,普通话,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00505,2020-10-18,BV17a4y1L7nE,1,01:34:15.000,01:37:30.000,通天大道宽又阔,,,呜米,完整,普通话,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00506,2020-10-18,BV17a4y1L7nE,1,01:39:00.000,01:43:31.000,江南,,,呜米,完整,普通话,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00507,2020-10-18,BV17a4y1L7nE,1,01:44:35.000,01:47:44.000,勾指起誓,,,呜米,未知,普通话,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00508,2020-10-18,BV17a4y1L7nE,1,01:48:40.000,01:50:13.000,帝国少女,,,呜米,半首,日语,口胡崽崽,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00509,2020-10-18,BV17a4y1L7nE,1,01:51:15.000,01:55:53.000,樱花草,,,呜米,完整,普通话,我恋爱啦~,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00510,2020-10-18,BV17a4y1L7nE,1,01:56:35.000,01:59:23.000,カサネテク,千层套路,,呜米,强行完整,日语,撒娇崽崽,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00511,2020-10-18,BV17a4y1L7nE,1,02:02:05.000,02:06:02.000,Loser,,,呜米,完整,日语,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00512,2020-10-18,BV17a4y1L7nE,1,02:10:00.000,02:15:28.000,secret base ~君がくれたもの~,秘密基地 ~你所给予之物~/未闻花名,,呜米,强行完整,日语,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00513,2020-10-18,BV17a4y1L7nE,1,02:17:20.000,02:18:43.000,懺悔録,忏悔录,,呜米,半首,日语,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00514,2020-10-18,BV17a4y1L7nE,1,02:24:30.000,02:28:01.000,独りんぼエンヴィー,孑然妒火,,呜米,完整,日语,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00515,2020-10-18,BV17a4y1L7nE,1,02:29:15.000,02:33:39.000,好想爱这个世界啊,,,呜米,完整,普通话,,爱吃猫的_鱼-(UID:333610391),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00516,2020-10-19,BV1yK4y1771J,1,00:07:22.000,00:10:07.000,太陽系デスコ,太阳系disco,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00517,2020-10-19,BV1yK4y1771J,1,00:13:45.000,00:16:53.000,君は薔薇より美しい,你比玫瑰更美丽,,呜米,完整,日语,变了啊啊啊啊啊啊,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00518,2020-10-19,BV1yK4y1771J,1,00:19:48.000,00:23:31.000,天ノ弱,天之弱,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00519,2020-10-19,BV1yK4y1771J,1,00:30:30.000,00:32:56.000,Yellow,,,呜米,完整,日语,双声道耳机党福利,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00520,2020-10-19,BV1yK4y1771J,1,00:33:30.000,00:37:01.000,千本桜,千本樱,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00521,2020-10-19,BV1yK4y1771J,1,00:37:35.000,00:40:47.000,ロキ/Roki,,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00522,2020-10-19,BV1yK4y1771J,1,00:48:08.000,00:50:50.000,哆啦A梦,,,呜米,完整,普通话,空耳A梦,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00523,2020-10-19,BV1yK4y1771J,1,00:52:50.000,00:56:58.000,可愛くなりたい,想变得可爱,,呜米,完整,日语,呜米喵也想变得可爱——指口胡,南山souto(UID:1462413),TRUE,半步灬青莲(UID:173985337),FALSE,,
U00524,2020-10-19,BV1yK4y1771J,1,00:59:20.000,01:03:27.000,狂乱 Hey Kids!!,,,呜米,完整,日语,崽崽帅帅妈妈好爱,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00525,2020-10-19,BV1yK4y1771J,1,01:05:10.000,01:08:28.000,カタオモイ,单相思,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00526,2020-10-19,BV1yK4y1771J,1,01:10:13.000,01:12:28.000,だんだん早くなる,逐渐加快,,呜米,完整,日语,厕所竞速回,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00527,2020-10-19,BV1yK4y1771J,1,01:14:36.000,01:16:12.000,Unravel,,,呜米,完整,日语,开盘洗海带,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00528,2020-10-19,BV1yK4y1771J,1,01:16:52.000,01:18:24.000,カワキヲアメク,声嘶力竭,,呜米,完整,日语,上完又炸,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00529,2020-10-19,BV1yK4y1771J,1,01:20:04.000,01:23:20.000,ギガンティックO.T.N,Gigantic O.T.N,,呜米,完整,日语,40口径的什么？？？,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00530,2020-10-19,BV1yK4y1771J,1,01:28:54.000,01:31:37.000,歌舞伎町の女王,,,呜米,完整,日语,假音歌势,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00531,2020-10-19,BV1yK4y1771J,1,01:33:48.000,01:37:57.000,Again,,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00532,2020-10-19,BV1yK4y1771J,1,01:40:33.000,01:45:20.000,旅の途中,,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00533,2020-10-19,BV1yK4y1771J,1,01:48:44.000,01:52:39.000,砂の惑星,砂之行星,,呜米,完整,日语,我呜米没有翻车,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00534,2020-10-19,BV1yK4y1771J,1,01:55:07.000,01:59:57.000,Wherever you are,,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00535,2020-10-19,BV1yK4y1771J,1,02:00:53.000,02:04:43.000,Echo,,,呜米,完整,英语,口哨过场suki,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00536,2020-10-19,BV1yK4y1771J,1,02:06:17.000,02:08:47.000,chAngE,,,呜米,几句,日语,第三回上万就炸撤所,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00537,2020-10-19,BV1yK4y1771J,1,02:09:09.000,02:14:24.000,桜の花びらたち,樱花的花瓣们,,呜米,完整,日语,前田敦子版,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00538,2020-10-19,BV1yK4y1771J,1,02:16:06.000,02:22:14.000,僕が死のうと思ったのは,曾经我也想过一了百了,,呜米,完整,日语,是直播间里的温暖啊,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
U00539,2020-10-19,BV1yK4y1771J,1,02:22:55.000,02:26:18.000,アウターサイエンス,界外科学,,呜米,完整,日语,,南山souto(UID:1462413),TRUE,遗世尘嚣(UID:12007970),FALSE,,
